instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0271,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0542,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.217,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4339,8,32 GiB,EBS Only,Up to 5 Gigabit
m6gd.medium,$0.06,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
m6gd.large,$0.12,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
m6gd.xlarge,$0.24,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
m6gd.2xlarge,$0.48,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
m6gd.4xlarge,$0.96,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
m6gd.8xlarge,$1.92,32,128 GiB,1 x 1900 NVMe SSD,10 Gigabit
m6gd.12xlarge,$2.88,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit
m6gd.16xlarge,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6gd.metal,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6i.large,$0.127,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.254,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.508,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.016,16,64 GiB,EBS Only,Up to 12500 Megabit
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0271,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0542,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.217,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4339,8,32 GiB,EBS Only,Up to 5 Gigabit
m6gd.medium,$0.06,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
m6gd.large,$0.12,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
m6gd.xlarge,$0.24,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
m6gd.2xlarge,$0.48,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
m6gd.4xlarge,$0.96,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
m6gd.8xlarge,$1.92,32,128 GiB,1 x 1900 NVMe SSD,10 Gigabit
m6gd.12xlarge,$2.88,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit
m6gd.16xlarge,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6gd.metal,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6i.large,$0.127,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.254,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.508,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.016,16,64 GiB,EBS Only,Up to 12500 Megabit
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0271,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0542,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.217,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4339,8,32 GiB,EBS Only,Up to 5 Gigabit
m6gd.medium,$0.06,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
m6gd.large,$0.12,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
m6gd.xlarge,$0.24,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
m6gd.2xlarge,$0.48,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
m6gd.4xlarge,$0.96,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
m6gd.8xlarge,$1.92,32,128 GiB,1 x 1900 NVMe SSD,10 Gigabit
m6gd.12xlarge,$2.88,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit
m6gd.16xlarge,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6gd.metal,$3.84,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6i.large,$0.127,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.254,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.508,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.016,16,64 GiB,EBS Only,Up to 12500 Megabit
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0271,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0542,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1085,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.217,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4339,8,32 GiB,EBS Only,Up to 5 Gigabit
m6gd.medium,$0.06,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
