instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0043,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0086,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0172,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0344,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0688,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1376,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.2752,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0054,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0108,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0216,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0432,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0864,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1728,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3456,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.041,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.082,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.164,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.328,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.656,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.312,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0043,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0086,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0172,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0344,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0688,2,8 GiB,EBS Only,Up to 5 Gigabit
