instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
t4g.nano,$0.0051,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0102,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0204,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0408,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0816,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1632,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3264,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0063,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0125,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0251,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0502,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1003,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2006,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4013,8,32 GiB,EBS Only,Up to 5 Gigabit
m6g.medium,$0.0473,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.0946,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.1892,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.3784,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.7568,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.5136,32,128 GiB,EBS Only,10 Gigabit
