instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.0049,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0098,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0196,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0392,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0784,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1568,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3136,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0061,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0122,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0244,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0488,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0976,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1952,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3904,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0055,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.011,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.022,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0439,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0878,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1757,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.0049,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0098,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0196,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0392,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0784,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1568,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3136,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0061,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0122,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0244,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0488,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0976,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1952,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3904,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0055,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.011,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.022,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0439,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0878,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1757,4,16 GiB,EBS Only,Up to 5 Gigabit
