instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.04,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.08,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.16,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.32,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0062,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0124,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0248,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0496,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.0992,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.1984,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.3968,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0056,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0112,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0223,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0446,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.0893,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.1786,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.nano,$0.005,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01,2,1 GiB,EBS Only,Up to 5 Gigabit
