instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
m5.large,$0.199,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.398,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.796,8,32 GiB,EBS Only,Up to 10 Gigabit
m5.4xlarge,$1.592,16,64 GiB,EBS Only,Up to 10 Gigabit
m5.8xlarge,$3.184,32,128 GiB,EBS Only,10 Gigabit
m5.12xlarge,$4.776,48,192 GiB,EBS Only,10 Gigabit
m5.16xlarge,$6.368,64,256 GiB,EBS Only,20 Gigabit
m5.24xlarge,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5.metal,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5d.large,$0.218,2,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
m5d.xlarge,$0.436,4,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
m5d.2xlarge,$0.872,8,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
m5d.4xlarge,$1.744,16,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
m5.large,$0.199,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.398,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.796,8,32 GiB,EBS Only,Up to 10 Gigabit
m5.4xlarge,$1.592,16,64 GiB,EBS Only,Up to 10 Gigabit
m5.8xlarge,$3.184,32,128 GiB,EBS Only,10 Gigabit
m5.12xlarge,$4.776,48,192 GiB,EBS Only,10 Gigabit
m5.16xlarge,$6.368,64,256 GiB,EBS Only,20 Gigabit
m5.24xlarge,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5.metal,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5d.large,$0.218,2,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
m5d.xlarge,$0.436,4,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
m5d.2xlarge,$0.872,8,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
m5d.4xlarge,$1.744,16,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
m5.large,$0.199,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.398,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.796,8,32 GiB,EBS Only,Up to 10 Gigabit
m5.4xlarge,$1.592,16,64 GiB,EBS Only,Up to 10 Gigabit
m5.8xlarge,$3.184,32,128 GiB,EBS Only,10 Gigabit
m5.12xlarge,$4.776,48,192 GiB,EBS Only,10 Gigabit
m5.16xlarge,$6.368,64,256 GiB,EBS Only,20 Gigabit
m5.24xlarge,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5.metal,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5d.large,$0.218,2,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
m5d.xlarge,$0.436,4,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
m5d.2xlarge,$0.872,8,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
m5d.4xlarge,$1.744,16,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
m5.large,$0.199,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.398,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.796,8,32 GiB,EBS Only,Up to 10 Gigabit
m5.4xlarge,$1.592,16,64 GiB,EBS Only,Up to 10 Gigabit
m5.8xlarge,$3.184,32,128 GiB,EBS Only,10 Gigabit
m5.12xlarge,$4.776,48,192 GiB,EBS Only,10 Gigabit
m5.16xlarge,$6.368,64,256 GiB,EBS Only,20 Gigabit
m5.24xlarge,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5.metal,$9.552,96,384 GiB,EBS Only,25 Gigabit
m5d.large,$0.218,2,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit
m5d.xlarge,$0.436,4,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit
m5d.2xlarge,$0.872,8,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit
m5d.4xlarge,$1.744,16,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit
