instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.4736,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0086,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0172,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.034,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.068,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1288,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2426,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0103,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0206,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0412,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.064,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1188,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.256,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.512,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0097,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0194,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0388,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0592,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1092,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2368,4,16 GiB,EBS Only,Up to 5 Gigabit
