instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0392,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.06,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1108,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.24,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.48,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0093,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0186,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0372,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.056,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1028,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.224,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.448,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0081,1,0.5 GiB,EBS Only,Low
t2.micro,$0.0162,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.032,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0644,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1208,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2266,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0098,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0196,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0392,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.06,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1108,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.24,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.48,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0093,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0186,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0372,2,2 GiB,EBS Only,Up to 5 Gigabit
